Timestep,Cell_1,Cell_2,Cell_3
227,0.002971606,0.019485944,0.065171098
228,0.002900288,0.0190896,0.064074655
229,0.002830681,0.018701056,0.062995013
230,0.002762745,0.018320167,0.061931958
231,0.002696439,0.017946789,0.060885275
232,0.002631724,0.017580781,0.059854752
233,0.002568563,0.017222003,0.058840176
234,0.002506917,0.016870321,0.05784134
235,0.002446751,0.016525599,0.056858036
236,0.002388029,0.016187707,0.055890057
237,0.002330717,0.015856514,0.054937201
238,0.002274779,0.015531895,0.053999264
239,0.002220185,0.015213725,0.053076048
