,date,hour,day_month,P,Qse,Qgw,model_m3hr,model_mhr,storageRatio,areaRatio,observ_mh
1277,2017-05-24,04:00:00,24-May,0.0,0.0,1095.4967725357214,1095.4967725357214,0.00012592640640677298,0.9481819440765447,0.2652082557002392,5.1479999999999995e-05
1278,2017-05-24,05:00:00,24-May,0.0,0.0,1095.3997899506114,1095.3997899506114,0.00012591525834250376,0.9480420382179766,0.2634247918647157,7.02e-05
1279,2017-05-24,06:00:00,24-May,0.0,0.0,1095.3028102273206,1095.3028102273206,0.00012590411060719818,0.9479021447457812,0.2617415705434644,0.00016416
1280,2017-05-24,07:00:00,24-May,0.0,0.0,1095.2058333659331,1095.2058333659331,0.00012589296320086592,0.9477622636595928,0.26011138590659844,0.00022968
1281,2017-05-24,08:00:00,24-May,0.0,0.0,1095.108859366534,1095.108859366534,0.00012588181612351675,0.9476223949590459,0.25881734187009764,0.00024371999999999998
1282,2017-05-24,09:00:00,24-May,0.0,0.0,1095.0118882292074,1095.0118882292074,0.00012587066937516035,0.947482538643775,0.2576815773513577,0.00025308
1283,2017-05-24,10:00:00,24-May,0.0,0.0,1094.9149199540377,1094.9149199540377,0.0001258595229558064,0.9473426947134145,0.2562545545699452,0.00025308
1284,2017-05-24,11:00:00,24-May,0.0,0.0,1094.8179545411099,1094.8179545411099,0.00012584837686546466,0.9472028631675987,0.2547123863003422,0.00023435999999999997
1285,2017-05-24,12:00:00,24-May,0.0,0.0,1094.7209919905076,1094.7209919905076,0.00012583723110414478,0.9470630440059623,0.2533489907735289,0.00020628
1286,2017-05-24,13:00:00,24-May,0.0,0.0,1094.6240323023162,1094.6240323023162,0.00012582608567185657,0.9469232372281395,0.2520409943225319,0.00018036
1287,2017-05-24,14:00:00,24-May,0.0,0.0,1094.52707547662,1094.52707547662,0.00012581494056860968,0.9467834428337648,0.25076620192312377,0.00016056000000000002
1288,2017-05-24,15:00:00,24-May,0.0,0.0,1094.430121513503,1094.430121513503,0.00012580379579441383,0.9466436608224725,0.24949870998628199,0.000144
1289,2017-05-24,16:00:00,24-May,0.0,0.0,1094.3331704130505,1094.3331704130505,0.00012579265134927874,0.9465038911938971,0.24861372968470394,0.00012888
1290,2017-05-24,17:00:00,24-May,0.0,0.0,1094.2362221753467,1094.2362221753467,0.00012578150723321417,0.9463641339476728,0.24777613963656284,0.00011844000000000001
1291,2017-05-24,18:00:00,24-May,0.0,0.0,1094.1392768004757,1094.1392768004757,0.00012577036344622975,0.946224389083434,0.24612420100511798,0.00011124
