date,time,flow_cfs,flow_cms,flow_ms,flow_mh,Etp,avg_prec_mm,precip_m
5/7/2014,4:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,5:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,6:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,7:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,8:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,9:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,10:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/7/2014,11:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/8/2014,12:00:00 AM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
5/8/2014,1:00:00 AM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
5/8/2014,2:00:00 AM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
5/8/2014,3:00:00 AM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
5/8/2014,4:00:00 AM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
5/8/2014,5:00:00 AM,1.1669,0.033042897,4.31E-08,1.55E-04,0.000125,0,0
5/8/2014,6:00:00 AM,1.1669,0.033042897,4.31E-08,1.55E-04,0.000125,0,0
5/8/2014,7:00:00 AM,1.1669,0.033042897,4.31E-08,1.55E-04,0.000125,0,0
5/8/2014,8:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,9:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,10:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,11:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,12:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,1:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,2:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,3:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,4:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,5:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,6:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,7:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,8:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,9:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,10:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/8/2014,11:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/9/2014,12:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/9/2014,1:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/9/2014,2:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/9/2014,3:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/9/2014,4:00:00 AM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/9/2014,5:00:00 AM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/9/2014,6:00:00 AM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/9/2014,7:00:00 AM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/9/2014,8:00:00 AM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/9/2014,9:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,10:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,11:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,12:00:00 PM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,1:00:00 PM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,2:00:00 PM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,3:00:00 PM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,4:00:00 PM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,5:00:00 PM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,6:00:00 PM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/9/2014,7:00:00 PM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/9/2014,8:00:00 PM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/9/2014,9:00:00 PM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/9/2014,10:00:00 PM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/9/2014,11:00:00 PM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/10/2014,12:00:00 AM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/10/2014,1:00:00 AM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/10/2014,2:00:00 AM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/10/2014,3:00:00 AM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/10/2014,4:00:00 AM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/10/2014,5:00:00 AM,0.9357,0.026496048,3.46E-08,1.25E-04,0.000125,0,0
5/10/2014,6:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/10/2014,7:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/10/2014,8:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0.200000003,0.0002
5/10/2014,9:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/10/2014,10:00:00 AM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0.700000048,0.0007
5/10/2014,11:00:00 AM,1.1669,0.033042897,4.31E-08,1.55E-04,0.000125,1.649999976,0.00165
5/10/2014,12:00:00 PM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0.550000012,0.00055
5/10/2014,1:00:00 PM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0.850000024,0.00085
5/10/2014,2:00:00 PM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,1.350000024,0.00135
5/10/2014,3:00:00 PM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/10/2014,4:00:00 PM,1.5425,0.043678695,5.70E-08,2.05E-04,0.000125,0,0
5/10/2014,5:00:00 PM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/10/2014,6:00:00 PM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/10/2014,7:00:00 PM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/10/2014,8:00:00 PM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/10/2014,9:00:00 PM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/10/2014,10:00:00 PM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/10/2014,11:00:00 PM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/11/2014,12:00:00 AM,1.6013,0.045343724,5.92E-08,2.13E-04,0.000125,0,0
5/11/2014,1:00:00 AM,1.5425,0.043678695,5.70E-08,2.05E-04,0.000125,0,0
5/11/2014,2:00:00 AM,1.5425,0.043678695,5.70E-08,2.05E-04,0.000125,0,0
5/11/2014,3:00:00 AM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/11/2014,4:00:00 AM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/11/2014,5:00:00 AM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/11/2014,6:00:00 AM,1.4289,0.040461904,5.28E-08,1.90E-04,0.000125,0,0
5/11/2014,7:00:00 AM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/11/2014,8:00:00 AM,1.3203,0.037386697,4.88E-08,1.76E-04,0.000125,0,0
5/11/2014,9:00:00 AM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
5/11/2014,10:00:00 AM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
5/11/2014,11:00:00 AM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
5/11/2014,12:00:00 PM,1.2679,0.035902896,4.69E-08,1.69E-04,0.000125,0,0
