timestep,Precip_mm,Precip_m,hourly_discharge_cmd,hourly_discharge_cms
01/12/2007 22,0,0,183.06,0.00211875
01/12/2007 23,0,0,183.06,0.00211875
01/13/2007 00,0,0,183.06,0.00211875
01/13/2007 01,0,0,183.06,0.00211875
01/13/2007 02,0.5,0.0005,187.18,0.002166435
01/13/2007 03,0.1,0.0001,189.24,0.002190278
01/13/2007 04,0,0,189.24,0.002190278
01/13/2007 05,0.4,0.0004,195.43,0.002261921
01/13/2007 06,0.9,0.0009,195.43,0.002261921
01/13/2007 07,0.2,0.0002,195.43,0.002261921
01/13/2007 08,0.5,0.0005,193.37,0.002238079
01/13/2007 09,0.2,0.0002,181,0.002094907
01/13/2007 10,0.3,0.0003,168.63,0.001951736
01/13/2007 11,1.1,0.0011,160.39,0.001856366
01/13/2007 12,0.9,0.0009,160.39,0.001856366
01/13/2007 13,0.2,0.0002,160.39,0.001856366
01/13/2007 14,0.1,0.0001,160.39,0.001856366
01/13/2007 15,0,0,160.39,0.001856366
01/13/2007 16,0,0,160.39,0.001856366
01/13/2007 17,0.1,0.0001,160.39,0.001856366
01/13/2007 18,0,0,160.39,0.001856366
01/13/2007 19,0,0,160.39,0.001856366
01/13/2007 20,0,0,160.39,0.001856366
01/13/2007 21,0.1,0.0001,160.39,0.001856366
01/13/2007 22,0.4,0.0004,160.39,0.001856366
01/13/2007 23,0.1,0.0001,160.39,0.001856366
01/14/2007 00,0.3,0.0003,160.39,0.001856366
01/14/2007 01,0,0,160.39,0.001856366
01/14/2007 02,0.3,0.0003,160.39,0.001856366
01/14/2007 03,0.3,0.0003,160.39,0.001856366
01/14/2007 04,0.3,0.0003,160.39,0.001856366
01/14/2007 05,0.1,0.0001,160.39,0.001856366
01/14/2007 06,0.1,0.0001,160.39,0.001856366
01/14/2007 07,0.2,0.0002,154.48,0.001787963
01/14/2007 08,0.1,0.0001,145.63,0.001685532
01/14/2007 09,0.1,0.0001,136.77,0.001582986
01/14/2007 10,0.1,0.0001,127.92,0.001480556
01/14/2007 11,0,0,119.06,0.001378009
01/14/2007 12,0.1,0.0001,110.21,0.001275579
01/14/2007 13,0,0,105.78,0.001224306
01/14/2007 14,0.7,0.0007,114.63,0.001326736
01/14/2007 15,0,0,123.49,0.001429282
01/14/2007 16,0.1,0.0001,132.35,0.001531829
01/14/2007 17,1.7,0.0017,141.2,0.001634259
01/14/2007 18,0.6,0.0006,150.06,0.001736806
01/14/2007 19,0.2,0.0002,158.91,0.001839236
01/14/2007 20,0,0,160.39,0.001856366
01/14/2007 21,0.9,0.0009,160.39,0.001856366
01/14/2007 22,0.2,0.0002,160.39,0.001856366
01/14/2007 23,0,0,160.39,0.001856366
01/15/2007 00,0.1,0.0001,160.39,0.001856366
01/15/2007 01,0,0,160.39,0.001856366
01/15/2007 02,0.6,0.0006,160.39,0.001856366
01/15/2007 03,0.3,0.0003,164.51,0.001904051
01/15/2007 04,0,0,176.88,0.002047222
01/15/2007 05,0.1,0.0001,189.24,0.002190278
01/15/2007 06,0.3,0.0003,201.61,0.002333449
01/15/2007 07,0.4,0.0004,219.48,0.002540278
01/15/2007 08,0,0,248.36,0.002874537
01/15/2007 09,0.2,0.0002,275.18,0.003184954
01/15/2007 10,1.9,0.0019,291.69,0.003376042
01/15/2007 11,1.5,0.0015,308.2,0.00356713
01/15/2007 12,1,0.001,324.71,0.003758218
01/15/2007 13,0.3,0.0003,360.03,0.004167014
01/15/2007 14,0.1,0.0001,381.58,0.004416435
01/15/2007 15,0.5,0.0005,403.14,0.004665972
01/15/2007 16,0,0,424.7,0.004915509
01/15/2007 17,0.2,0.0002,446.26,0.005165046
01/15/2007 18,0.1,0.0001,467.82,0.005414583
01/15/2007 19,0,0,494.43,0.005722569
01/15/2007 20,0.3,0.0003,522.05,0.006042245
01/15/2007 21,0.3,0.0003,549.67,0.006361921
01/15/2007 22,0,0,641.73,0.007427431
01/15/2007 23,0,0,641.73,0.007427431
01/16/2007 00,0,0,641.73,0.007427431
01/16/2007 01,0,0,641.73,0.007427431
01/16/2007 02,0,0,641.73,0.007427431
01/16/2007 03,0,0,641.73,0.007427431
01/16/2007 04,0,0,641.73,0.007427431
01/16/2007 05,0,0,641.73,0.007427431
01/16/2007 06,0,0,641.73,0.007427431
01/16/2007 07,0,0,641.73,0.007427431
01/16/2007 08,0,0,641.73,0.007427431
01/16/2007 09,0,0,641.73,0.007427431
01/16/2007 10,0,0,641.73,0.007427431
01/16/2007 11,0,0,535.86,0.006202083
01/16/2007 12,0,0,508.24,0.005882407
01/16/2007 13,0,0,480.62,0.005562731
01/16/2007 14,0.1,0.0001,471.41,0.005456134
01/16/2007 15,0,0,471.41,0.005456134
01/16/2007 16,0,0,471.41,0.005456134
