Precip_2016_mm,Precip_2016_m,Streamflow_l/s,Streamflow_m3/day,flow_m/day
0,0,0.389,33.6096,0.000113393
0,0,0.364,31.4496,0.000106105
0,0,0.27,23.328,7.87045E-05
0,0,0.224,19.3536,6.52955E-05
0,0,0.208,17.9712,6.06316E-05
2.4,0.0024,0.433,37.4112,0.000126219
0,0,1.804,155.8656,0.000525862
56.5,0.0565,17.514,1513.2096,0.005105296
0,0,12.276,1060.6464,0.003578429
1.4,0.0014,2.404,207.7056,0.000700761
1.2,0.0012,1.254,108.3456,0.000365538
0.3,0.0003,0.8,69.12,0.000233198
0,0,0.641,55.3824,0.00018685
2.9,0.0029,0.562,48.5568,0.000163822
1.5,0.0015,0.59,50.976,0.000171984
9.7,0.0097,0.568,49.0752,0.000165571
0.6,0.0006,0.796,68.7744,0.000232032
0,0,0.412,35.5968,0.000120097
0,0,0.264,22.8096,7.69555E-05
0,0,0.203,17.5392,5.91741E-05
0,0,0.178,15.3792,5.18866E-05
0,0,0.153,13.2192,4.45992E-05
0,0,0.119,10.2816,3.46883E-05
0.6,0.0006,0.105,9.072,3.06073E-05
8.4,0.0084,0.2,17.28,5.82996E-05
0,0,0.163,14.0832,4.75142E-05
0,0,0.108,9.3312,3.14818E-05
0,0,0.096,8.2944,2.79838E-05
0,0,0.076,6.5664,2.21538E-05
0,0,0.062,5.3568,1.80729E-05
1.8,0.0018,0.056,4.8384,1.63239E-05
16.3,0.0163,0.25,21.6,7.28745E-05
